AC,Rio Branco,Municipal Mercardo Elias Mansour,"R. Sergipe, 40 - Cadeia Velha, Rio Branco - AC, 69900-370, Brazil"
AC,Rio Branco,Mercado Velho,"Av. Epaminondas Jácome Centro, 2813 - Centro, Rio Branco - AC, 69900-010, Brazil"
AC,Rio Branco,Mercado Municipal Francisco Assis Marinheiro (Mercado da Estação),"Estação Experimental, Rio Branco - State of Acre, Brazil"
AC,Rio Branco,Mercado Municipal Aziz Abucater,"Centro, Rio Branco - State of Acre, 69914-220, Brazil"
AC,Rio Branco,Mercado Municipal 6 de Agosto,"R. Seis de Agosto - 6 de Agosto, Rio Branco - AC, 69901-060, Brazil"
AC,Rio Branco,Mercado Municipal da Cidade do Povo,"Cidade do Povo, Rio Branco - State of Acre, 69925-000, Brazil"
AC,Rio Branco,From the market Bosque,"R. Cel. Alexandrino, 635 - Bosque, Rio Branco - AC, 69909-730, Brazil"
AC,Rio Branco,Mercado dos Colonos,"69914, 220 - Base, Rio Branco - AC, 69908-430, Brazil"
AC,Rio Branco,Mercantil Varejão do 15,"R. Nossa Sra. da Conceição, 628 - 6 de Agosto, Rio Branco - AC, 69901-036, Brazil"
AC,Rio Branco,Mercado Municipal do 15,"Blvd. Augusto Monteiro - Quinze, Rio Branco - AC, 69905-538, Brazil"
AC,Rio Branco,Mercado Municipal do Bairro São Francisco,"Estr. do São Francisco, 2581 - Eldorado, Rio Branco - AC, 69901-890, Brazil"
AC,Rio Branco,Feira municipal,"Estr. do São Francisco, 1249 - São Francisco, Rio Branco - AC, 69901-516, Brazil"
AL,Maceió,Mercado do Artesanato,"Parque Rio Branco, 71 - Levada, Maceió - AL, 57017-150, Brazil"
AL,Maceió,Mercado Popular,"R. Barão de Alagoas - Levada, Maceió - AL, 57017-160, Brazil"
AL,Maceió,Mercado Público do Jacintinho,"R. Primeiro de Marco, 238-346 - Jacintinho, Maceió - AL, 57040-225, Brazil"
AL,Maceió,Mercado da Produção,"Av. Francisco de Menezes - Levada, Maceió - AL, 57020-210, Brazil"
AL,Maceió,Mercado das Artes 31,"Av. Indl. Cícero Toledo, 31 - Jaraguá, Maceió - AL, 57022-170, Brazil"
AL,Maceió,Mercadão Das Embalagens,"R. Barão de Alagoas, 163-297 - Levada, Maceió - AL, 57017-160, Brazil"
AL,Maceió,Mercado Público do Jaraguá,"Av. Comendador Leão, 255-239 - Jaraguá, Maceió - AL, 57022-240, Brazil"
AL,Maceió,Crafts Pavilion,"Av. Dr. Antônio Gouveia, 1447 - Pajuçara, Maceió - AL, 57030-170, Brazil"
AL,Maceió,Peixaria Peixe Dourado,"Mercado da Produção - Levada, Maceió - AL, 57020-210, Brazil"
AL,Maceió,Mercado público do Benedito Bentes,"R. Caxeu, 132 - Benedito Bentes, Maceió - AL, 57084-580, Brazil"
AL,Maceió,Mercadinho Central,"R. Central, 30 - Caramujo, Maceió - AL, 57082-000, Brazil"
AL,Maceió,Mercado Público Municipal,"R. Prof. Jairmendonça, 75-121, Paripueira - AL, 57935-000, Brazil"
AL,Maceió,Mercado da Feirinha do Jacintinho,"R. São José - Jacintinho, Maceió - AL, 57040-510, Brazil"
AL,Maceió,Estação Mercado do Artesanato,"Centro, Maceió - State of Alagoas, 57020-280, Brazil"
AL,Maceió,Feirinha de Hortifruti,"R. Agerson Dantas - Centro, Maceió - AL, 57020-040, Brazil"
AL,Maceió,Mercado Municipal,"R. Taváres Bastos, Pilar - AL, 57150-000, Brazil"
AL,Maceió,Municipal,"Centro, Maceió - State of Alagoas, 57020-150, Brazil"
AL,Maceió,MERCADO PÚBLICO,"Av. Maceió - Tabuleiro do Martins, Maceió - AL, 57061-110, Brazil"
AP,Macapá,Mercado Central de Macapá,"R. Cândido Mendes - Central, Macapá - AP, 68900-015, Brazil"
AM,Manaus,Mercado Municipal Adolpho Lisboa,"R. dos Barés, 46 - Centro, Manaus - AM, 69009-365, Brazil"
AM,Manaus,Taberna do Chef Procópio,"Mercado Adolpho Lisboa - R. dos Barés, 46 - Centro, Manaus - AM, 69005-020, Brazil"
AM,Manaus,Municipal Market Senator Cunha Melo,"Av. Constantino Nery, S/N - Centro, Manaus - AM, 69010-160, Brazil"
AM,Manaus,Mercado Municipal do Morro da Liberdade,"Morro da Liberdade, Manaus - State of Amazonas, 69074-780, Brazil"
AM,Manaus,Mercado Municipal Walter Rayol,"R. Gen. Glicério, s/n - Cachoeirinha, Manaus - AM, 69065-140, Brazil"
AM,Manaus,Municipal Market Maximo Corrêa,"Av. Nhamundá, 28 - Praça 14 de Janeiro, Manaus - AM, 69020-040, Brazil"
AM,Manaus,Mercado Municipal da Cachoeirinha,"Centro, Manaus - State of Amazonas, 69065-040, Brazil"
AM,Manaus,Dulce das Ervas - Banca 12. Mercado Municipal Adolfo Lisboa,"Av. Lourenço da Silva Braga, Banca 12 - Centro, Manaus - AM, 69005-020, Brazil"
AM,Manaus,Feira Manaus Moderna,"R. dos Barés, 180-208 - Centro, Manaus - AM, 69005-020, Brazil"
AM,Manaus,Mercado Municipal Dr. Jorge de Moraes,"Av. Leopoldo Peres, 245 - Educandos, Manaus - AM, 69070-250, Brazil"
AM,Manaus,Mercado Municipal Da Glória,"R. São Bento, 100 - Glória, Manaus - AM, 69027-490, Brazil"
BA,Salvador,Mercado Modelo,"Pr. Visc. de Cayru, s/n - Comercio, Salvador - BA, 40015-170, Brazil"
BA,Salvador,Municipal Market Itapuã,"R. Genebaldo Figueredo, Rua Genebaldo Figueredo - Itapuã, Salvador - BA, 41610-081, Brazil"
BA,Salvador,Mercado Municipal da Liberdade,"R. Gonçalo Coelho, 5 - Liberdade, Salvador - BA, 40325-570, Brazil"
BA,Salvador,Rio Vermelho Market,"Av. Juracy Magalhães Júnior, 1624 - Rio Vermelho, Salvador - BA, 41940-060, Brazil"
BA,Salvador,Mercado Central,"R. Teixeira Mendes, 68 - Federação, Salvador - BA, 40226-590, Brazil"
BA,Salvador,Municipal Market Bonfim,"Largo da Baixa do Bonfim, S/N - Bonfim, Salvador - BA, 40415-485, Brazil"
BA,Salvador,Mercado Municipal de Cajazeiras,"Av. Engenheiro Raymundo Carlos Nery, 413-429 - Cajazeiras, Salvador - BA, 41340-280, Brazil"
BA,Salvador,Mercado Municipal do Dois de Jlho,"Largo Dois de Julho - Dois de Julho, Salvador - BA, 40060-200, Brazil"
BA,Salvador,Mercado Popular,"Av. Jequitaia, 207 - Água de Meninos, Salvador - BA, 40460-001, Brazil"
BA,Salvador,Praça do Mercado,"Comercio, Salvador - State of Bahia, 40301-155, Brazil"
BA,Salvador,Mercado São Miguel,"Av. José Joaquim Seabra, 151 - Nazaré, Salvador - BA, 40024-082, Brazil"
